Company,About,Website,Job portal,Linkedin (jobs),Location/Eligibility
ADL,,https://www.adl.org,https://www.adl.org/about/careers,,Anywhere ADL has an office
Advance Medical by Teladoc Health,"global virtual care leader, offering the only comprehensive virtual care solution spanning telehealth, expert medical, and licensed platform services",https://www.teladochealth.com,https://www.teladochealth.com/careers/,,
Advarra,"advancing clinical research: safer, smarter, faster",https://www.advarra.com,https://www.advarra.com/about/careers/,https://www.linkedin.com/company/advarra/jobs/,"UK, US, occasional openings -anywhere worldwide"
Adventure Project,creating jobs in developing countries,https://www.theadventureproject.org,https://www.theadventureproject.org/careers,,"flexible, with remote options and hours based on the needs of the candidate, you do not need to be a resident of the US to apply, residents who live and work in Africa are strongly encouraged to apply"
Affordable Housing Institute,improving housing ecosystems worldwide,http://www.affordablehousinginstitute.org,,https://www.linkedin.com/company/affordable-housing-institute/jobs/,remote anywhere?
Africa Enterprise Challenge Fund,,https://www.aecfafrica.org,https://www.aecfafrica.org/about-us/opportunities/,,Sub-Saharan Africa
Africa Europe Foundation,,https://www.africaeuropefoundation.org/,https://www.idealist.org/en/nonprofit/40609927632d4d2f81fa1a100695c5e3-africa-europe-foundation-ixelles,https://www.linkedin.com/company/africa-europe-foundation/jobs/,Priority to being located at the Brussels Office of the Africa-Europe Foundation
African Alliance,"a queer-led non-profit organisation providing a space where some of the continentâ€™s best minds in the development and transformation space could come together to collaborate, strategise and collectively advance rights-based work with a shared understanding of our past, our present and our hopes for the future",https://africanalliance.org.za/,https://www.idealist.org/en/nonprofit/4445aad57ebc440484087cedd3471581-african-alliance-johannesburg#opportunities,https://www.linkedin.com/company/african-alliance/jobs/,consultancy
African Development Bank (AfDB) Groupâ€™,"helping reduce poverty, improve living conditions for Africans and mobilize resources for the continentâ€™s economic and social development",https://www.afdb.org,https://www.afdb.org/en/about-us/careers,https://www.linkedin.com/company/african-development-bank/jobs/,you need to be national of one of AfDB member countries
The African Leadership Institute,pioneering a fresh approach to higher education in the 21st century; offering accredited programmes in a unique and imaginative way by integrating studentsâ€™ learning with the real world,https://start.alueducation.com/?utm_source=Linkedin&utm_medium=Social+Media&utm_campaign=Sep_Intake,,https://www.linkedin.com/school/alueducation/jobs/,ideally you will be available to work within the GMT+2 time zone
Africans in the Diaspora,"network of Africans on the continent and in the diaspora that pools financial resources, knowledge and skills to support the work of climate justice, food sovereignty, and alternative economics movements on the continent",https://www.africansinthediaspora.org,https://www.africansinthediaspora.org/blog/we-are-hiring,,Consultancy-GMT zone preferred
Africa Public Health Foundation,,https://aphf.africa,https://aphf.africa/vacancies/,https://www.linkedin.com/company/africa-public-health-foundation/jobs/,"remote working on a time zone compatible with working hours in Africa (GMT to GMT +3). There is the possibility of relocation to the country where APHF operations will be permanently based, depending on circumstances"
African Union,,https://au.int/,https://careers.au.int/,https://www.linkedin.com/company/african-union-commission-addis-ababa/jobs/,Africa
African Union - InterAfrican Bureau for Animal Resources,,https://www.au-ibar.org,https://www.au-ibar.org/jobs,https://www.linkedin.com/company/au-ibar/jobs/,Consultancy
African Visionary Fund,driving more funding to African visionaries to accelerate their impact,https://africanvisionary.org/,https://recruiterflow.com/edge/jobs#menu,https://www.linkedin.com/company/african-visionary-fund/jobs/,"The ideal candidate is an African based within the African continent with pre-existing work authorization for any employer in their country of location, working times are within East African Time zone"
"African Womenâ€™s Development Fund, AWDF","a grantmaking foundation that supports local, national and regional womenâ€™s organisations working towards the empowerment of African women and the promotion and realisation of their rights",https://awdf.org/,https://awdf.org/work-with-us/,https://www.linkedin.com/company/african-women's-development-fund-awdf-/,â— Burkina Faso â— Cameroon â— DRC â— Ghana â— Kenya â— Lebanon â— Liberia â— Mali â— Nigeria â— Palestine â— Senegal â— Somalia & Somaliland â— South Africa â— Tanzania â— Uganda â— Zimbabwe - Consultancy
Africa's Tomorrow,specializes in breaking through the barriers of oppression that keep rural African women at a distance from college,https://www.africastomorrow.org/,,https://www.linkedin.com/company/africas-tomorrow/jobs/,remote anywhere?
Against Malaria Foundation,,https://www.againstmalaria.com/,,https://www.linkedin.com/company/the-against-malaria-foundation/jobs/,
Aga Khan Foundation,"an agency of the Aga Khan Development Network, is a private, not-for-profit, non-denominational, international development agency established in 1967 by His Highness the Aga Khan",https://www.akf.org.uk,https://www.akf.org.uk/careers/,https://www.linkedin.com/company/aga-khan-foundation/jobs/,Ideally based in the UK or Portugal
AGC Biologics,"offers deep industry expertise and uniquely customized services for the scale-up and cGMP manufacture of protein-based therapeutics (using mammalian and microbial systems), mRNA, pDNA, viral vector and cell therapy products, from pre-clinical to commercial production, including our proprietary CHEF1TM Expression System for efficient protein production with CHO cells",https://www.agcbio.com,https://www.agcbio.com/careers,https://www.linkedin.com/company/agcbiologics/jobs/,"remote or hybrid in: Copenhagen (Denmark), Heidelberg (Germany), Milan (Italy), Seattle (Washington, USA), Boulder or Longmont (Colorado, USA)"
AGCO Corporation,an agricultural equipment maker,https://www.agcocorp.com/,https://careers.agcocorp.com/search/?q=&locationsearch=,https://www.linkedin.com/company/agco-corporation/jobs/,
Agents for Impact,aim to build bridges between investors and the world of impact investing,https://www.agentsforimpact.com,https://www.agentsforimpact.com/career/,https://www.linkedin.com/company/agents-for-impact/jobs/,"EECCA region (Easter Europe, Caucasus and Central Asia) - employee location to be discussed with the potential candidates"
Agilent Technologies,addressing the full range of scientific and laboratory management needs,https://www.agilent.com/,https://careers.agilent.com/,https://www.linkedin.com/company/agilent-technologies/jobs/,US/Europe
Agoro Carbon Alliance,creating a new solution to our planet's carbon challenge that's grounded in the soil,https://agorocarbonalliance.com/,,https://www.linkedin.com/company/agoro-carbon-alliance/jobs/,remote EU
Agreena,founded by visionary farmers and fintech-savvies in 2018. What originated as an online commodity trading marketplace has since become one of the first soil carbon certification programmes in the pan-European landscape,https://agreena.com,https://jobs.lever.co/agreena,https://www.linkedin.com/company/agreena/jobs/,"Centrally located modern offices in Copenhagen and London, or the option to work remotely in Europe"
Agritask,"an Agronomic Intelligence and Analytics Platform, that powers collaboration across the food value chain",https://start.agritask.com,https://start.agritask.com/company/careers/,https://www.linkedin.com/company/agritask/jobs/,
AI Fund,"a team of AI pioneers, proven entrepreneurs, seasoned operators, and venture capitalists that collaborates with leading entrepreneurs to solve big challenges using artificial intelligence",https://aifund.ai/,https://careers.aifund.ai/jobs,https://www.linkedin.com/company/aifund/jobs/,"global, EU, LATAM"
AIM-Progress,a global initiative of consumer goods manufacturers and suppliers with the aim to enable and promote responsible sourcing practices and sustainable production systems,https://www.aim-progress.com/,,https://www.linkedin.com/company/aim-progress/jobs/,able to work on Central European Time & Eastern Standard Time
AirHelp,specializing in air passenger rights,https://www.airhelp.com/,https://careers.airhelp.com/,https://www.linkedin.com/company/airhelp/jobs/,"Brazil, Poland, Spain"
"Airlink, Inc.",transporting relief workers and emergency supplies to disasters and humanitarian crises around the globe,https://airlinkflight.org,https://airlinkflight.org/get-involved/careers/,https://www.linkedin.com/company/airlinkinc/jobs/,
Air Up,Creators of the air upÂ® drinking system â€“ the revolutionary new way of flavouring your water through scent alone,https://uk.air-up.com/,https://uk.air-up.com/pages/career-at-air-up,https://www.linkedin.com/company/air-up/jobs/,
Aktiia,24/7 Blood Pressure Monitoring,https://aktiia.com/,,https://www.linkedin.com/company/aktiia/jobs/,
Akvo,Boosting the impact of development programmes,https://akvo.org,https://akvo.org/join-our-team/,https://www.linkedin.com/company/akvo/jobs/,CET timezone
AIB International,helps food manufacturers and distributors improve their food safety and quality management practices,https://www.aibinternational.com/en/,https://careers.aibinternational.com/careers-landing-page,https://www.linkedin.com/company/aibint/jobs/,US/Canada
Alight,a platform of amazing people and organizations providing lifesaving services and creating breakthrough solutions for and with the displaced,https://wearealight.org,https://wearealight.org/careers/,https://www.linkedin.com/company/alight-energy/jobs/,worldwide
Alima,Alliance for International Medical Action,https://alima.ngo,https://hr.alima.ngo/jobs,https://www.linkedin.com/company/alima/jobs/,Africa
Alimentiv,"clinical trials, medical imaging, and precision medicine for GI-related ailments",https://alimentiv.com,https://alimentiv.com/careers/,https://www.linkedin.com/company/alimentiv/jobs/,"NA, Europe"
Alira Health,,https://alirahealth.com,https://alirahealth.com/careers/,https://www.linkedin.com/company/alira-health/jobs/,any location in the CET timezone can be considered
Allen&York,Sustainable Executive Search & Recruitment Solutions,https://www.allen-york.com,https://www.allen-york.com/jobs,https://www.linkedin.com/company/allen-&-york/jobs/,
Alliance for Affordable Internet (A4AI),,https://a4ai.org,https://a4ai.org/get-involved/careers/,https://www.linkedin.com/company/a4ai/jobs/,LAC
The Alliance for Child Protection in Humanitarian Action,,https://alliancecpha.org,https://alliancecpha.org/en/child-protection-vacancies-jobs-positions,https://www.linkedin.com/company/alliancecpha/jobs/,Consultancy
Alliance for Financial Inclusion (AFI),financial inclusion policy and regulation,https://www.afi-global.org,https://www.afi-global.org/careers/,https://www.linkedin.com/company/alliance-for-financial-inclusion/jobs/,Candidate who can work within the European and African time zones would have an added advantage
Alliance of Bioversity International,AN ALLIANCE FOR ACCELERATED CHANGE TO PRESERVE AND PROTECT OUR ENVIRONMENT,https://alliancebioversityciat.org/,https://alliancebioversityciat.org/careers,https://www.linkedin.com/company/bioversity-international/jobs/,various
All Out,mobilizing millions of people and their social networks to build a powerful movement for love and equality,https://allout.org,https://allout.org/en/work-us,https://www.linkedin.com/company/allout-org/jobs/,Desired time zone location: GMT -6 to GMT +1
